Date,Price,Open,High,Low
2022/4/14,985,999.29,1012.71,982.19
2022/4/13,1022.37,981.08,1026.24,973.1
2022/4/12,986.95,997.64,1021.19,976.6
2022/4/11,975.93,980.4,1008.47,974.64
2022/4/10,NaN,NaN,NaN,NaN
2022/4/9,NaN,NaN,NaN,NaN
2022/4/8,1025.49,1043.21,1048.44,1022.43
2022/4/7,1057.26,1052.39,1076.59,1021.54
2022/4/6,1045.76,1073.47,1079,1027.7
2022/4/5,1091.26,1136.3,1152.87,1087.3
2022/4/4,1145.45,1089.38,1149.91,1072.53
2022/4/3,NaN,NaN,NaN,NaN
2022/4/2,NaN,NaN,NaN,NaN
2022/4/1,1084.59,1081.15,1094.75,1066.64
2022/3/31,1077.6,1094.57,1103.14,1076.64
2022/3/30,1093.99,1091.17,1113.95,1084
2022/3/29,1099.57,1107.99,1114.77,1073.11
2022/3/28,1091.84,1065.1,1097.88,1053.6
2022/3/27,NaN,NaN,NaN,NaN
2022/3/26,NaN,NaN,NaN,NaN
2022/3/25,1010.64,1008,1021.8,997.32
2022/3/24,1013.92,1009.73,1024.49,988.8
2022/3/23,999.11,979.94,1040.7,976.4
2022/3/22,993.98,930,997.86,921.75
2022/3/21,921.16,914.98,942.85,907.09
2022/3/20,NaN,NaN,NaN,NaN
2022/3/19,NaN,NaN,NaN,NaN
2022/3/18,905.39,874.49,907.85,867.39
2022/3/17,871.6,830.99,875,825.72
2022/3/16,840.23,809,842,802.26
2022/3/15,801.89,775.27,805.57,756.57
2022/3/14,766.37,780.61,800.7,756.04
2022/3/13,NaN,NaN,NaN,NaN
2022/3/12,NaN,NaN,NaN,NaN
2022/3/11,795.35,840.2,843.8,793.77
2022/3/10,838.3,851.45,854.45,810.36
2022/3/9,858.97,839.48,860.56,832.01
2022/3/8,824.4,795.53,849.99,782.17
2022/3/7,804.58,856.3,866.14,804.57
2022/3/4,NaN,NaN,NaN,NaN
2022/3/3,NaN,NaN,NaN,NaN
2022/3/2,879.89,872.13,886.48,844.27
2022/3/1,864.37,869.68,889.88,853.78
2022/2/28,870.43,815.01,876.86,814.71
2022/2/25,809.87,809.23,819.5,782.4
2022/2/24,800.77,700.39,802.48,700
2022/2/23,NaN,NaN,NaN,NaN
2022/2/22,NaN,NaN,NaN,NaN
2022/2/18,856.98,886,886.87,837.61
2022/2/17,876.35,913.26,918.5,874.1
2022/2/16,923.39,914.05,926.43,901.21
2022/2/15,922.43,900,923,893.38
2022/2/14,875.76,861.57,898.88,853.15
2022/2/11,NaN,NaN,NaN,NaN
2022/2/10,NaN,NaN,NaN,NaN
2022/2/9,932,935,946.27,920
2022/2/8,922,905.53,926.29,894.8
2022/2/7,907.34,923.79,947.77,902.71
2022/2/4,923.32,897.22,936.5,881.17
2022/2/3,891.14,882,937,880.52
2022/2/2,NaN,NaN,NaN,NaN
2022/2/1,NaN,NaN,NaN,NaN
2022/1/31,936.72,872.71,937.99,862.05
2022/1/28,846.35,831.56,857.5,792.01
2022/1/27,829.1,933.36,935.39,829
2022/1/26,937.41,952.43,987.69,906
2022/1/25,918.4,914.2,951.26,903.21
2022/1/24,NaN,NaN,NaN,NaN
2022/1/21,NaN,NaN,NaN,NaN
2022/1/20,996.27,1009.73,1041.66,994
2022/1/19,995.65,1041.7,1054.67,995
2022/1/18,1030.51,1026.6,1070.79,1016.06
2022/1/14,1049.61,1019.88,1052,1013.38
2022/1/13,1031.56,1109.06,1115.6,1026.54
2022/1/12,NaN,NaN,NaN,NaN
2022/1/11,NaN,NaN,NaN,NaN
2022/1/10,1058.12,1000,1059.1,980
2022/1/7,1026.96,1080.37,1080.93,1010
2022/1/6,1064.7,1077,1088,1020.5
2022/1/5,1088.12,1146.65,1170.34,1081.01
2022/1/4,1149.59,1189.55,1208,1123.05
2022/1/3,NaN,NaN,NaN,NaN
2021/12/31,NaN,NaN,NaN,NaN
2021/12/30,1070.34,1061.33,1095.55,1053.15
2021/12/29,1086.19,1098.64,1104,1064.14
2021/12/28,1088.47,1109.49,1119,1078.42
2021/12/27,1093.94,1073.67,1117,1070.72
2021/12/23,1067,1006.8,1072.98,997.56
2021/12/22,NaN,NaN,NaN,NaN
2021/12/21,NaN,NaN,NaN,NaN
2021/12/20,899.94,910.7,921.69,893.39
2021/12/17,932.57,914.77,960.66,909.04
2021/12/16,926.92,994.5,994.98,921.85
2021/12/15,975.99,953.21,978.75,928.25
2021/12/14,958.51,945,966.41,930
2021/12/13,NaN,NaN,NaN,NaN
2021/12/10,NaN,NaN,NaN,NaN
2021/12/9,1003.8,1060.64,1062.49,1002.36
2021/12/8,1068.96,1052.71,1072.38,1033
2021/12/7,1051.75,1044.2,1057.67,1026.81
2021/12/6,1009.01,1001.51,1021.64,950.5
2021/12/3,1014.97,1084.79,1090.58,1000.21
2021/12/2,NaN,NaN,NaN,NaN
2021/12/1,NaN,NaN,NaN,NaN
2021/11/30,1144.76,1144.37,1168,1118
2021/11/29,1136.99,1100.99,1142.67,1100.19
2021/11/26,1081.92,1099.47,1108.78,1081
2021/11/24,1116,1080.39,1132.77,1062
2021/11/23,1109.03,1167.51,1180.5,1062.7
2021/11/22,NaN,NaN,NaN,NaN
2021/11/19,NaN,NaN,NaN,NaN
2021/11/18,1096.38,1106.55,1112,1075.02
2021/11/17,1089.01,1063.51,1119.64,1055.5
2021/11/16,1054.73,1003.31,1057.2,1002.18
2021/11/15,1013.39,1017.63,1031.98,978.6
2021/11/12,1033.42,1047.5,1054.5,1019.2
2021/11/11,NaN,NaN,NaN,NaN
2021/11/10,NaN,NaN,NaN,NaN
2021/11/9,1023.5,1173.6,1174.5,1011.52
2021/11/8,1162.94,1149.79,1197,1133
2021/11/5,1222.09,1228,1239.87,1208
2021/11/4,1229.91,1234.41,1243.49,1217
2021/11/3,1213.86,1177.33,1215.39,1152.62
2021/11/2,NaN,NaN,NaN,NaN
2021/11/1,NaN,NaN,NaN,NaN
2021/10/29,1114,1081.86,1115.21,1073.2
2021/10/28,1077.04,1068.31,1081,1054.2
2021/10/27,1037.86,1039.66,1070.88,1030.78
2021/10/26,1018.43,1024.69,1094.94,1001.44
2021/10/25,1024.86,950.53,1045.02,944.2
2021/10/22,NaN,NaN,NaN,NaN
2021/10/21,NaN,NaN,NaN,NaN
2021/10/20,865.8,865.35,869.49,857.38
2021/10/19,864.27,877.53,877.95,862.51
2021/10/18,870.11,851.79,875.26,851.47
2021/10/15,843.03,823.74,843.21,822.35
2021/10/14,818.32,815.49,820.25,813.35
2021/10/13,NaN,NaN,NaN,NaN
2021/10/12,NaN,NaN,NaN,NaN
2021/10/11,791.94,787.65,801.24,785.5
2021/10/8,785.49,796.21,796.38,780.91
2021/10/7,793.61,785.46,805,783.38
2021/10/6,782.75,776.2,786.66,773.22
2021/10/5,780.59,784.8,797.31,774.2
2021/10/4,NaN,NaN,NaN,NaN
2021/10/1,NaN,NaN,NaN,NaN
2021/9/30,775.48,781,789.13,775
2021/9/29,781.31,779.8,793.5,770.68
2021/9/28,777.56,787.2,795.64,766.18
2021/9/27,791.36,773.12,799,769.31
2021/9/24,774.39,745.89,774.8,744.56
2021/9/23,NaN,NaN,NaN,NaN
2021/9/22,NaN,NaN,NaN,NaN
2021/9/21,739.38,734.79,744.74,730.44
2021/9/20,730.17,734.56,742,718.62
2021/9/17,759.49,757.15,761.04,750
2021/9/16,756.99,752.83,758.91,747.61
2021/9/15,755.83,745,756.86,738.36
2021/9/14,NaN,NaN,NaN,NaN
2021/9/13,NaN,NaN,NaN,NaN
2021/9/10,736.27,759.6,762.61,734.52
2021/9/9,754.86,753.41,762.1,751.63
2021/9/8,753.87,761.58,764.45,740.77
2021/9/7,752.92,740,760.2,739.26
2021/9/3,733.57,732.25,734,724.2
2021/9/2,NaN,NaN,NaN,NaN
2021/9/1,NaN,NaN,NaN,NaN
2021/8/31,735.72,733,740.39,726.44
2021/8/30,730.91,714.72,731,712.73
2021/8/27,711.92,705,715,702.1
2021/8/26,701.16,708.31,715.4,697.62
2021/8/25,711.2,707.03,716.97,704
2021/8/24,NaN,NaN,NaN,NaN
2021/8/23,NaN,NaN,NaN,NaN
2021/8/20,680.26,682.85,692.13,673.7
2021/8/19,673.47,678.21,686.55,667.59
2021/8/18,688.99,669.75,695.77,669.35
2021/8/17,665.71,672.66,674.58,648.84
2021/8/16,686.17,705.07,709.5,676.4
2021/8/13,717.17,723.71,729.9,714.34
2021/8/12,722.25,706.34,722.8,699.4
2021/8/11,707.82,712.71,715.18,704.21
2021/8/10,709.99,713.76,716.4,702.05
2021/8/9,713.76,710.16,718.9,705.13
2021/8/6,699.1,711.9,716.33,697.63
2021/8/5,714.63,716,720.93,711.6
2021/8/4,710.92,710.8,724.71,709
2021/8/3,709.74,719.1,722.25,701.13
2021/8/2,709.67,699.35,726.85,698.57
2021/7/30,687.2,671.76,697.53,669
2021/7/29,677.35,649.6,683.47,649.4
2021/7/28,646.98,647.25,654.91,639.84
2021/7/27,644.78,663,666.31,627.27
2021/7/26,657.62,650.24,668.16,647.11
2021/7/23,643.38,646.36,648.8,637.3
2021/7/22,649.26,656.44,662.17,644.6
2021/7/21,655.29,659.61,664.86,650.29
2021/7/20,660.5,651.99,662.39,640.5
2021/7/19,646.22,629.89,647.2,621.29
2021/7/16,644.22,654.68,656.7,642.2
2021/7/15,650.6,657.79,666,637.99
2021/7/14,653.38,671,678.34,652.98
2021/7/13,668.54,686.95,692.86,666.33
2021/7/12,685.7,662.87,687.08,662.87
2021/7/9,656.95,653.18,658.91,644.69
2021/7/8,652.81,628.37,654.43,620.46
2021/7/7,644.65,664.27,665.7,638.32
2021/7/6,659.58,681.71,684,651.4
2021/7/2,678.9,678.98,700,673.26
2021/7/1,677.92,683.92,687.99,672.8
2021/6/30,679.7,679.77,692.81,678.14
2021/6/29,680.76,684.65,687.51,675.89
2021/6/28,688.72,671.64,694.7,670.32
2021/6/25,671.87,689.58,693.81,668.7
2021/6/24,679.82,674.99,697.62,667.61
2021/6/23,656.57,632,657.2,630.04
2021/6/22,623.71,618.25,628.57,615.5
2021/6/21,620.83,624.48,631.39,608.88
2021/6/18,623.31,613.37,628.35,611.8
2021/6/17,616.6,601.89,621.47,601.34
2021/6/16,604.87,597.53,608.5,593.5
2021/6/15,599.36,616.69,616.79,598.23
2021/6/14,617.69,612.23,625.49,609.18
2021/6/11,609.89,610.23,612.56,601.52
2021/6/10,610.12,603.88,616.59,600.5
2021/6/9,598.78,602.17,611.79,597.63
2021/6/8,603.59,623.01,623.09,595.5
2021/6/7,605.13,591.83,610,582.88
2021/6/4,599.05,579.71,600.61,577.2
2021/6/3,572.84,601.8,604.55,571.22
2021/6/2,605.12,620.13,623.36,599.14
2021/6/1,623.9,627.8,633.8,620.55
2021/5/28,625.22,628.5,635.59,622.38
2021/5/27,630.85,620.24,631.13,616.21
2021/5/26,619.13,607.56,626.17,601.5
2021/5/25,604.69,607.31,613.99,595.71
2021/5/24,606.44,581.6,614.48,573.65
2021/5/21,580.88,596.11,596.68,580
2021/5/20,586.78,575,588.85,571.07
2021/5/19,563.46,552.55,566.21,546.98
2021/5/18,577.87,568,596.25,563.38
2021/5/17,576.83,575.55,589.73,561.2
2021/5/14,589.74,583.41,592.87,570.46
2021/5/13,571.69,601.54,606.46,559.65
2021/5/12,589.89,602.49,620.41,586.76
2021/5/11,617.2,599.24,627.1,595.6
2021/5/10,629.04,664.9,665.05,627.61
2021/5/7,672.37,665.8,690,660.22
2021/5/6,663.54,680.76,681.02,650
2021/5/5,670.94,681.06,685.3,667.34
2021/5/4,673.6,678.94,683.45,657.7
2021/5/3,684.9,703.8,706,680.5
2021/4/30,709.44,667.59,715.47,666.14
2021/4/29,677,699.51,702.25,668.5
2021/4/28,694.4,696.41,708.5,693.6
2021/4/27,704.74,717.96,724,703.35
2021/4/26,738.2,741,749.3,732.61
2021/4/23,729.4,719.8,737.36,715.46
2021/4/22,719.69,741.5,753.77,718.04
2021/4/21,744.12,704.77,744.84,698
2021/4/20,718.99,717.42,737.25,710.68
